data1,data2,data3,label
311.0,-10.0,994.0,leftright
244.0,23.0,1003.0,leftright
339.0,49.0,1009.0,leftright
334.0,4.0,1001.0,leftright
308.0,-12.0,1010.0,leftright
315.0,-2.0,1007.0,leftright
266.0,15.0,1012.0,leftright
220.0,0.0,998.0,leftright
195.0,-2.0,997.0,leftright
178.0,7.0,1005.0,leftright
126.0,-11.0,1010.0,leftright
101.0,-3.0,999.0,leftright
116.0,31.0,1006.0,leftright
90.0,27.0,983.0,leftright
2.0,-20.0,1002.0,leftright
-62.0,-153.0,1014.0,leftright
-260.0,-39.0,954.0,leftright
-346.0,-18.0,994.0,leftright
-505.0,-5.0,1053.0,leftright
-565.0,-12.0,1004.0,leftright
-780.0,-6.0,999.0,leftright
-691.0,1.0,1005.0,leftright
-808.0,-46.0,1006.0,leftright
-818.0,-4.0,1011.0,leftright
-746.0,23.0,1005.0,leftright
-643.0,20.0,1019.0,leftright
-558.0,13.0,976.0,leftright
-462.0,23.0,1007.0,leftright
-363.0,-4.0,982.0,leftright
-246.0,-35.0,1000.0,leftright
-126.0,-49.0,1001.0,leftright
-20.0,-55.0,1007.0,leftright
117.0,-18.0,1016.0,leftright
184.0,0.0,988.0,leftright
280.0,-2.0,998.0,leftright
295.0,10.0,1025.0,leftright
387.0,27.0,998.0,leftright
441.0,20.0,1005.0,leftright
508.0,-2.0,1002.0,leftright
574.0,11.0,1007.0,leftright
653.0,-1.0,1002.0,leftright
757.0,-31.0,1056.0,leftright
838.0,-45.0,1089.0,leftright
840.0,-54.0,1052.0,leftright
849.0,-37.0,1009.0,leftright
838.0,-92.0,973.0,leftright
826.0,-99.0,931.0,leftright
796.0,-93.0,916.0,leftright
699.0,-83.0,918.0,leftright
548.0,-85.0,918.0,leftright
376.0,-95.0,994.0,leftright
209.0,-109.0,893.0,leftright
-43.0,-114.0,1527.0,leftright
-228.0,6.0,660.0,leftright
-437.0,-97.0,979.0,leftright
-613.0,-108.0,993.0,leftright
-784.0,-5.0,999.0,leftright
-866.0,45.0,994.0,leftright
-868.0,55.0,1002.0,leftright
-884.0,58.0,970.0,leftright
-823.0,57.0,965.0,leftright
-677.0,66.0,1069.0,leftright
-606.0,38.0,1013.0,leftright
-547.0,31.0,1007.0,leftright
-426.0,38.0,987.0,leftright
-347.0,29.0,1025.0,leftright
-239.0,14.0,1013.0,leftright
-120.0,12.0,1016.0,leftright
-47.0,-1.0,978.0,leftright
74.0,-24.0,972.0,leftright
161.0,-59.0,1004.0,leftright
326.0,-71.0,1017.0,leftright
424.0,-76.0,1005.0,leftright
456.0,-75.0,994.0,leftright
484.0,-54.0,1010.0,leftright
505.0,-25.0,989.0,leftright
414.0,2.0,972.0,leftright
420.0,-60.0,1067.0,leftright
472.0,2.0,977.0,leftright
335.0,4.0,1016.0,leftright
271.0,18.0,1010.0,leftright
174.0,16.0,985.0,leftright
49.0,0.0,1028.0,leftright
-82.0,0.0,973.0,leftright
-222.0,0.0,1016.0,leftright
-376.0,5.0,1003.0,leftright
-480.0,1.0,1000.0,leftright
-546.0,11.0,995.0,leftright
-507.0,37.0,1004.0,leftright
-541.0,-42.0,1009.0,leftright
-476.0,21.0,1017.0,leftright
-382.0,44.0,1022.0,leftright
-287.0,26.0,986.0,leftright
-191.0,40.0,976.0,leftright
-81.0,38.0,1008.0,leftright
3.0,18.0,993.0,leftright
97.0,32.0,1011.0,leftright
174.0,13.0,1009.0,leftright
271.0,17.0,1011.0,leftright
354.0,37.0,995.0,leftright
385.0,36.0,1000.0,leftright
482.0,27.0,997.0,leftright
487.0,-16.0,1001.0,leftright
455.0,101.0,1008.0,leftright
587.0,120.0,1004.0,leftright
577.0,14.0,992.0,leftright
558.0,-10.0,999.0,leftright
522.0,11.0,1024.0,leftright
448.0,-21.0,1001.0,leftright
354.0,-46.0,996.0,leftright
223.0,-71.0,1019.0,leftright
118.0,-71.0,981.0,leftright
-10.0,-73.0,994.0,leftright
-88.0,-80.0,1002.0,leftright
-238.0,-90.0,1021.0,leftright
-374.0,-105.0,990.0,leftright
-570.0,-95.0,1031.0,leftright
-674.0,-65.0,983.0,leftright
-762.0,-18.0,1012.0,leftright
-851.0,-37.0,1000.0,leftright
-695.0,12.0,997.0,leftright
-859.0,-114.0,1011.0,leftright
-846.0,7.0,1013.0,leftright
-779.0,51.0,997.0,leftright
-704.0,51.0,1007.0,leftright
-629.0,50.0,983.0,leftright
-546.0,51.0,1013.0,leftright
-431.0,50.0,975.0,leftright
-322.0,39.0,1028.0,leftright
-238.0,4.0,999.0,leftright
-56.0,-8.0,1010.0,leftright
110.0,-10.0,993.0,leftright
154.0,-33.0,1007.0,leftright
246.0,-30.0,989.0,leftright
251.0,5.0,990.0,leftright
280.0,13.0,1054.0,leftright
317.0,-8.0,985.0,leftright
367.0,-32.0,979.0,leftright
423.0,-32.0,1013.0,leftright
476.0,-49.0,1031.0,leftright
547.0,-47.0,1080.0,leftright
573.0,-32.0,1055.0,leftright
546.0,-44.0,990.0,leftright
537.0,-47.0,942.0,leftright
552.0,-28.0,921.0,leftright
561.0,-23.0,911.0,leftright
500.0,0.0,922.0,leftright
560.0,10.0,942.0,leftright
538.0,15.0,1167.0,leftright
536.0,46.0,1059.0,leftright
457.0,-18.0,988.0,leftright
430.0,-22.0,1016.0,leftright
394.0,-5.0,959.0,leftright
389.0,16.0,1054.0,leftright
349.0,17.0,990.0,leftright
297.0,8.0,982.0,leftright
224.0,-5.0,1026.0,leftright
124.0,-18.0,992.0,leftright
67.0,-26.0,1011.0,leftright
4.0,-59.0,996.0,leftright
-140.0,-50.0,1005.0,leftright
-271.0,-29.0,985.0,leftright
-374.0,-45.0,1008.0,leftright
-521.0,-82.0,1018.0,leftright
-533.0,-44.0,995.0,leftright
-538.0,-41.0,1004.0,leftright
-625.0,-34.0,1013.0,leftright
