data1,data2,data3,label
-54.0,41.0,1004.0,idle
-52.0,36.0,1005.0,idle
-54.0,35.0,1000.0,idle
-55.0,38.0,989.0,idle
-54.0,46.0,975.0,idle
-56.0,49.0,960.0,idle
-52.0,48.0,965.0,idle
-53.0,51.0,990.0,idle
-64.0,55.0,1015.0,idle
-64.0,50.0,1034.0,idle
-67.0,46.0,1040.0,idle
-69.0,46.0,1021.0,idle
-68.0,49.0,1009.0,idle
-68.0,55.0,1007.0,idle
-72.0,64.0,1014.0,idle
-69.0,61.0,1021.0,idle
-73.0,59.0,1028.0,idle
-77.0,61.0,1021.0,idle
-76.0,61.0,1009.0,idle
-76.0,59.0,997.0,idle
-76.0,62.0,1000.0,idle
-76.0,72.0,1011.0,idle
-81.0,76.0,1036.0,idle
-81.0,64.0,1050.0,idle
-77.0,56.0,1033.0,idle
-75.0,56.0,1013.0,idle
-71.0,58.0,1007.0,idle
-67.0,57.0,1003.0,idle
-63.0,56.0,997.0,idle
-58.0,51.0,994.0,idle
-59.0,54.0,996.0,idle
-52.0,45.0,983.0,idle
-44.0,35.0,983.0,idle
-45.0,38.0,975.0,idle
-50.0,63.0,971.0,idle
-52.0,67.0,982.0,idle
-46.0,61.0,992.0,idle
-43.0,68.0,998.0,idle
-44.0,39.0,987.0,idle
-32.0,14.0,966.0,idle
-27.0,7.0,963.0,idle
-29.0,22.0,977.0,idle
-33.0,47.0,998.0,idle
-35.0,48.0,1001.0,idle
-28.0,60.0,993.0,idle
-28.0,58.0,973.0,idle
-23.0,60.0,977.0,idle
-24.0,85.0,984.0,idle
-26.0,95.0,983.0,idle
-18.0,97.0,980.0,idle
-16.0,100.0,982.0,idle
-8.0,100.0,968.0,idle
-12.0,126.0,978.0,idle
-16.0,129.0,992.0,idle
-26.0,137.0,994.0,idle
-33.0,144.0,986.0,idle
-29.0,150.0,986.0,idle
-24.0,141.0,979.0,idle
-26.0,143.0,984.0,idle
-34.0,151.0,990.0,idle
-31.0,167.0,1012.0,idle
-33.0,173.0,1012.0,idle
-33.0,174.0,996.0,idle
-25.0,168.0,983.0,idle
-21.0,171.0,970.0,idle
-26.0,177.0,970.0,idle
-21.0,172.0,973.0,idle
-15.0,174.0,984.0,idle
-14.0,177.0,996.0,idle
-18.0,180.0,1000.0,idle
-13.0,177.0,993.0,idle
-11.0,175.0,986.0,idle
-13.0,180.0,982.0,idle
-13.0,191.0,975.0,idle
-14.0,196.0,975.0,idle
-10.0,194.0,977.0,idle
-2.0,200.0,974.0,idle
-9.0,207.0,985.0,idle
-5.0,200.0,979.0,idle
-3.0,201.0,971.0,idle
-2.0,204.0,961.0,idle
0.0,213.0,956.0,idle
-11.0,220.0,950.0,idle
-10.0,228.0,926.0,idle
-20.0,249.0,915.0,idle
-33.0,281.0,932.0,idle
-31.0,280.0,937.0,idle
-24.0,265.0,940.0,idle
-23.0,269.0,950.0,idle
-26.0,273.0,955.0,idle
